Price,Close,High,Low,Open,Volume
Ticker,AAPL,AAPL,AAPL,AAPL,AAPL
Datetime,,,,,
2025-05-14 13:30:00+00:00,213.3800048828125,213.61000061035156,211.8699951171875,212.4250030517578,5855346
2025-05-14 13:45:00+00:00,213.11500549316406,213.33999633789062,211.91000366210938,213.33999633789062,2513413
2025-05-14 14:00:00+00:00,213.07009887695312,213.4185028076172,212.55239868164062,213.11000061035156,1768029
2025-05-14 14:15:00+00:00,213.2899932861328,213.94000244140625,212.89999389648438,213.0872039794922,1959647
2025-05-14 14:30:00+00:00,212.6699981689453,213.71640014648438,212.63999938964844,213.30499267578125,1259281
2025-05-14 14:45:00+00:00,212.97999572753906,213.0653076171875,212.3699951171875,212.6699981689453,1239269
2025-05-14 15:00:00+00:00,212.11000061035156,213.0998992919922,212.05999755859375,213.00999450683594,1201302
2025-05-14 15:15:00+00:00,212.6199951171875,212.88999938964844,211.88980102539062,212.11619567871094,1221497
2025-05-14 15:30:00+00:00,212.85000610351562,212.85000610351562,212.41000366210938,212.6179962158203,889810
2025-05-14 15:45:00+00:00,212.38999938964844,212.8800048828125,212.3524932861328,212.8300018310547,722616
2025-05-14 16:00:00+00:00,212.17999267578125,212.63999938964844,212.0800018310547,212.381103515625,744502
2025-05-14 16:15:00+00:00,212.2899932861328,212.41000366210938,211.99000549316406,212.19000244140625,735813
2025-05-14 16:30:00+00:00,212.11000061035156,212.60000610351562,211.97000122070312,212.2949981689453,816160
2025-05-14 16:45:00+00:00,212.00999450683594,212.4499969482422,212.00379943847656,212.11000061035156,696181
2025-05-14 17:00:00+00:00,211.360107421875,212.02999877929688,211.25,212.0,1358878
2025-05-14 17:15:00+00:00,210.9600067138672,211.3800048828125,210.58009338378906,211.36000061035156,1363910
2025-05-14 17:30:00+00:00,211.5189971923828,211.7198944091797,210.9600067138672,210.97000122070312,1022745
2025-05-14 17:45:00+00:00,211.69500732421875,211.74989318847656,211.3780059814453,211.50999450683594,607517
2025-05-14 18:00:00+00:00,211.7100067138672,211.9199981689453,211.41000366210938,211.6999969482422,680755
2025-05-14 18:15:00+00:00,211.3699951171875,211.94520568847656,211.36000061035156,211.69000244140625,740738
2025-05-14 18:30:00+00:00,211.4884033203125,212.0500030517578,211.32000732421875,211.3800048828125,1104746
2025-05-14 18:45:00+00:00,211.39999389648438,211.57000732421875,211.19000244140625,211.49000549316406,803459
2025-05-14 19:00:00+00:00,211.41070556640625,211.52000427246094,211.0,211.39999389648438,945805
2025-05-14 19:15:00+00:00,211.3594970703125,211.63499450683594,210.99000549316406,211.41250610351562,947264
2025-05-14 19:30:00+00:00,211.464599609375,211.58999633789062,211.24000549316406,211.33999633789062,1148485
2025-05-14 19:45:00+00:00,212.41000366210938,212.60000610351562,211.24000549316406,211.4698944091797,5203599
2025-05-15 13:30:00+00:00,211.11000061035156,212.52999877929688,210.97500610351562,210.9949951171875,5331047
2025-05-15 13:45:00+00:00,210.4199981689453,211.27879333496094,210.0800018310547,211.07000732421875,1763821
2025-05-15 14:00:00+00:00,210.33839416503906,210.7100067138672,209.5399932861328,210.4499969482422,1648528
2025-05-15 14:15:00+00:00,210.27499389648438,210.5800018310547,210.05999755859375,210.33999633789062,1182051
2025-05-15 14:30:00+00:00,211.32000732421875,211.47000122070312,210.19000244140625,210.32000732421875,1368861
2025-05-15 14:45:00+00:00,211.9199981689453,211.94000244140625,211.19000244140625,211.32000732421875,1276726
2025-05-15 15:00:00+00:00,211.67010498046875,212.02499389648438,211.27000427246094,211.9199981689453,1203537
2025-05-15 15:15:00+00:00,212.49639892578125,212.8000030517578,211.6699981689453,211.6699981689453,1262401
